name,family,visual_signature,best_uses
Running Stitch,outline / quilting / sashiko base,"dashed line, tiny rhythmic gaps, lightweight drawing, marching thread path","lines, seams, borders, ripples, constellations"
Backstitch,outline,"solid-looking line made from overlapping backwards movements, crisp and readable","lettering, line art, contours, diagrams"
Stem Stitch,outline,twisted rope-like line with soft curve handling and organic botanical energy,"stems, vines, curves, script"
Split Stitch,outline / fill,"thread splits through previous stitch, fuzzy continuous line","soft outlines, medieval-style fills, organic contours"
Chain Stitch,loop,"interlocking loop chain, decorative rope track","outlines, spirals, vines, folk motifs"
Detached Chain / Lazy Daisy,loop / petal,"single loop anchored with tack stitch, petal-shaped","flowers, leaves, droplets, feathers"
Satin Stitch,fill,"smooth parallel stitches packed side by side, glossy directional fill","petals, leaves, lettering, badges"
Long and Short Stitch,shaded fill,staggered stitch lengths blend colors like thread painting,"realistic flowers, animals, gradients"
Cross Stitch,counted grid,"X-shaped cells on a grid, pixel-like","samplers, icons, alphabets, game/pixel motifs"
Half Cross Stitch,counted grid,"single diagonal counted stitch, lighter than cross stitch","shading, needlepoint backgrounds"
Tent Stitch,needlepoint,diagonal stitch over canvas intersections,"needlepoint coverage, petit point"
French Knot,knot,"tiny raised dot, bead-like and irregular","pollen, stars, eyes, texture sprinkles"
Colonial Knot,knot,"figure-eight knot, slightly plumper and stable","dot textures, flowers, berries"
Bullion Knot,raised knot,wrapped coil stitch like little caterpillar or rose petal,"roses, curls, dimensional ridges"
Turkey Work,pile,looped or cut pile creating fuzzy tufted surface,"fur, moss, hair, plush texture"
Couching,laid thread,"long thread held down by tiny stitches, good for metallics and thick cords","goldwork lines, curves, lettering"
Laid Work,fill,long parallel threads laid across surface and secured,"large fills, Bayeux-style areas, soft bands"
Blanket Stitch,edge / loop,"looped edge with perpendicular legs, protective border","edges, applique, scallops"
Buttonhole Stitch,edge / loop,"dense worked loop edge, firmer than blanket stitch","cutwork edges, eyelets, applique"
Feather Stitch,branching,"open branching V shapes, airy vine rhythm","borders, stems, decorative seams"
Fly Stitch,branching,"V-shaped stitch with tail, bird/leaf form","leaves, borders, scattered texture"
Herringbone Stitch,crossed,"open crossed diagonals, flexible decorative band","borders, seams, filling strips"
Chevron Stitch,crossed,regular zigzag crossed stitch,"bands, borders, folk geometry"
Cretan Stitch,looped / leaf,open looped stitch forming ladder or leaf structures,"leaves, borders, botanical lines"
Fishbone Stitch,leaf fill,angled stitches meet in center vein,"leaves, feathers"
Fern Stitch,branching,central line with angled side stitches,"ferns, vines, branches"
Seed Stitch,scatter fill,random tiny stitches like grain or confetti,"background texture, shading, grit"
Couching With Trellis,laid grid,laid threads held at intersections by tacks,"goldwork fills, lattice texture"
Spider Web Rose,woven raised,"woven wheel around spokes, rose-like spiral","roses, circular flowers, dimensional medallions"
Woven Picot,raised woven,thread woven over pins or anchors to form raised leaf/petal,"3D leaves, stumpwork elements"
Palestrina Stitch,knotted line,beaded knot line with raised bumps,"decorative outlines, borders"
Coral Stitch,knotted line,line with regularly spaced tiny knots,outlines with bead rhythm
Cable Stitch,rope line,braided rope-like line,"thick outlines, cords"
Scroll Stitch,curled line,looping knotted line with scroll texture,decorative contours
Rope Stitch,outline,twisted cord effect,"borders, lettering, nautical motifs"
Whipped Backstitch,outline,"backstitch wrapped with another thread, smooth cord line","clean curves, color accents"
Laced Running Stitch,decorative line,running stitch laced with contrasting thread,"borders, folk bands"
Open Cretan Stitch,open decorative,wide open looped ladder-like stitch,"leafy borders, airy grids"
